Term,Format,Midterm,Final
F18,Campus,139.5,103
F18,Campus,115,107
F18,Campus,113.5,125
F18,Campus,143.5,128
F18,Campus,153.5,135
F18,Campus,163,143
F18,Campus,139,144
F18,Campus,197.5,147
F18,Campus,150,148
F18,Campus,162,149
F18,Campus,185,150
F18,Campus,170.5,154
F18,Campus,199.5,154
F18,Campus,130.5,161
F18,Campus,179,161
F18,Campus,204,162
F18,Campus,139,165
F18,Campus,192,165
F18,Campus,163,166
F18,Campus,176,166
F18,Campus,177.5,166
F18,Campus,220,166
F18,Campus,201.5,167
F18,Campus,199.5,168
F18,Campus,174,169
F18,Campus,214.5,170
F18,Campus,166.5,171
F18,Campus,173.5,172
F18,Campus,141,173
F18,Campus,169.5,173
F18,Campus,205,174
F18,Campus,145,176
F18,Campus,148,176
F18,Campus,186,176
F18,Campus,215.5,176
F18,Campus,142.5,178
F18,Campus,157.5,179
F18,Campus,215.5,179
F18,Campus,144,180
F18,Campus,211,180
F18,Campus,144.5,183
F18,Campus,150,183
F18,Campus,174.5,183
F18,Campus,239,183
F18,Campus,149.5,184
F18,Campus,158,184
F18,Campus,217,184
F18,Campus,195,185
F18,Campus,215.5,185
F18,Campus,144,186
F18,Campus,180.5,187
F18,Campus,203.5,187
F18,Campus,111,188
F18,Campus,177.5,189
F18,Campus,193,189
F18,Campus,193,189
F18,Campus,201,189
F18,Campus,202,189
F18,Campus,156,190
F18,Campus,142,191
F18,Campus,224.5,191
F18,Campus,159.5,192
F18,Campus,238.5,192
F18,Campus,227,193
F18,Campus,161,194
F18,Campus,172.5,194
F18,Campus,200,194
F18,Campus,210,194
F18,Campus,157.5,195
F18,Campus,161,195
F18,Campus,183,195
F18,Campus,195,195
F18,Campus,196.5,195
F18,Campus,217,195
F18,Campus,169.5,196
F18,Campus,176.5,196
F18,Campus,205,196
F18,Campus,155,197
F18,Campus,231,197
F18,Campus,234,197
F18,Campus,179.5,198
F18,Campus,186,198
F18,Campus,187.5,198
F18,Campus,212,199
F18,Campus,179,201
F18,Campus,204,201
F18,Campus,212,201
F18,Campus,216,201
F18,Campus,209,202
F18,Campus,212,203
F18,Campus,217.5,203
F18,Campus,144.5,204
F18,Campus,178,204
F18,Campus,227,204
F18,Campus,158.5,205
F18,Campus,173.5,205
F18,Campus,225,205
F18,Campus,225,206
F18,Campus,166,207
F18,Campus,193,207
F18,Campus,175.5,208
F18,Campus,206.5,208
F18,Campus,214,208
F18,Campus,227,208
F18,Campus,172,209
F18,Campus,219,209
F18,Campus,230,209
F18,Campus,202,211
F18,Campus,218,212
F18,Campus,206.5,213
F18,Campus,209.5,213
F18,Campus,241,213
F18,Campus,157.5,214
F18,Campus,199,214
F18,Campus,201,214
F18,Campus,214,215
F18,Campus,231,215
F18,Campus,170,216
F18,Campus,178,217
F18,Campus,201,217
F18,Campus,218,217
F18,Campus,249,217
F18,Campus,178.5,218
F18,Campus,176.5,219
F18,Campus,207,219
F18,Campus,209,219
F18,Campus,228.5,219
F18,Campus,231,219
F18,Campus,205,220
